Index,Time,((pitch_motor)->motor_measure).total_angle,((pitch_motor)->motor_controller).pid_ref
3583,35.830287,396.386475,364.286987
3584,35.840144,395.77124,363.747986
3585,35.850404,395.199951,363.208984
3586,35.860253,394.672607,362.669983
3587,35.870099,394.057373,362.130981
3588,35.880150,393.442139,361.591003
3589,35.890107,392.87085,361.051025
3590,35.900392,392.299561,360.511047
3591,35.910231,391.684357,359.969055
3592,35.920103,391.069122,359.426544
3593,35.930423,390.497833,358.883514
3594,35.940091,389.882599,358.339508
3595,35.950185,389.267365,357.795502
3596,35.960323,388.740021,357.251007
3597,35.970142,388.168732,356.706024
3598,35.980425,387.597473,356.161041
3599,35.990514,387.070129,355.616058
3600,36.000166,386.630676,355.071075
3601,36.010260,386.191223,354.525055
3602,36.020401,385.663879,353.979034
3603,36.030241,385.136536,353.432526
3604,36.040502,384.609192,352.885529
3605,36.050279,384.169739,352.338531
3606,36.060169,383.68634,351.791534
3607,36.070239,383.159027,351.244537
3608,36.080380,382.631683,350.69754
3609,36.090242,382.148285,350.150543
3610,36.100373,381.708832,349.603546
3611,36.110272,381.225433,349.056549
3612,36.120173,380.78598,348.509552
3613,36.130472,380.302582,347.962555
3614,36.140433,379.819183,347.415558
3615,36.150288,379.29187,346.868561
3616,36.160374,378.808472,346.321564
3617,36.170277,378.237183,345.774567
3618,36.180178,377.665894,345.22757
3619,36.190438,377.094604,344.680573
3620,36.200529,376.47937,343.8591
3621,36.210254,375.995972,343.585114
3622,36.220378,375.336792,343.03714
3623,36.230205,374.765533,342.489166
3624,36.240457,374.106354,341.941193
3625,36.250301,373.447174,341.393219
3626,36.260132,372.787994,340.844208
3627,36.270345,372.17276,340.295197
3628,36.280198,371.557526,339.746185
3629,36.290479,370.986237,339.197174
3630,36.300304,370.414978,338.648163
3631,36.310136,369.887634,338.098663
3632,36.320420,369.360291,337.548676
3633,36.330220,368.832947,336.99765
3634,36.340463,368.437439,336.446625
3635,36.350331,367.910095,335.895599
3636,36.360140,367.426697,335.343597
3637,36.370423,366.943298,334.791595
3638,36.380487,366.547791,334.239105
3639,36.390179,366.064423,333.686127
3640,36.400299,365.624969,333.132111
3641,36.410143,365.097626,332.578094
3642,36.420426,364.658173,332.024078
3643,36.430301,364.174774,331.470062
3644,36.440385,363.603485,330.914032
3645,36.450455,363.076141,330.357513
3646,36.460166,362.548798,329.800507
3647,36.470419,362.021484,329.242523
3648,36.480259,361.450195,328.684021
3649,36.490099,361.010742,328.125
3650,36.500275,360.527344,327.565979
3651,36.510122,360,327.005981
3652,36.520576,359.426147,326.165985
3653,36.530104,358.898804,325.885986
3654,36.540396,358.37146,325.325989
3655,36.550249,357.800201,324.765503
3656,36.560399,357.184967,324.204529
3657,36.570252,356.569733,323.643555
3658,36.580510,355.910553,323.081543
3659,36.590353,355.251373,322.519531
3660,36.600335,354.592194,321.95752
3661,36.610426,353.976959,321.394531
3662,36.620236,353.273865,320.831024
3663,36.630135,352.746521,320.266998
3664,36.640453,352.087341,319.702972
3665,36.650361,351.559998,319.138947
3666,36.660448,351.076599,318.574921
3667,36.670455,350.549255,318.010895
3668,36.680301,350.109802,317.446869
3669,36.690175,349.626404,316.882843
3670,36.700442,349.186981,316.318817
3671,36.710288,348.791473,315.754791
3672,36.720106,348.35202,315.190765
3673,36.730295,347.868622,314.62674
3674,36.740147,347.385223,314.062714
3675,36.750430,346.901825,313.498688
3676,36.760282,346.374481,312.934662
3677,36.770128,345.759247,312.370636
3678,36.780397,345.187958,311.80661
3679,36.790473,344.616699,311.242584
3680,36.800456,344.001465,310.678558
3681,36.810292,343.430176,310.114532
3682,36.820134,342.814941,309.550507
3683,36.830416,342.287598,308.986481
3684,36.840308,341.672363,308.422455
3685,36.850408,341.14502,307.858429
3686,36.860258,340.617706,307.294403
3687,36.870215,340.046417,306.730377
3688,36.880491,339.475128,306.166351
3689,36.890338,338.903839,305.602325
3690,36.900195,338.288605,305.0383
3691,36.910320,337.67337,304.474274
3692,36.920221,337.014191,303.910248
3693,36.930505,336.442902,303.346222
3694,36.940347,335.739807,302.782196
3695,36.950306,335.124573,302.21817
3696,36.960404,334.509338,301.654144
3697,36.970272,333.938049,301.090118
3698,36.980160,333.36676,300.526093
3699,36.990476,332.839417,299.962067
3700,37.000377,332.312073,299.398041
3701,37.010475,331.828705,298.834015
3702,37.020246,331.389252,298.269989
3703,37.030514,330.949799,297.705963
3704,37.040353,330.4664,297.141937
3705,37.050230,330.026947,296.577911
3706,37.060526,329.499603,296.013885
3707,37.070484,329.06015,295.44986
3708,37.080161,328.620697,294.885834
3709,37.090426,328.049408,294.321808
3710,37.100453,327.56604,293.757782
3711,37.110301,327.038696,293.193756
3712,37.120161,326.423462,292.62973
3713,37.130115,325.852173,292.065704
3714,37.140230,325.236938,291.501678
3715,37.150479,324.621704,290.937653
3716,37.160330,324.00647,290.373627
3717,37.170154,323.435211,289.809601
3718,37.180421,322.819977,289.245575
3719,37.190201,322.204742,288.681549
3720,37.200468,321.677399,288.117523
3721,37.210331,321.10611,287.553497
3722,37.220182,320.490875,286.989471
3723,37.230448,319.919586,286.425446
3724,37.240299,319.260437,285.86142
3725,37.250211,318.601257,285.297394
3726,37.260349,317.986023,284.733368
3727,37.270210,317.414734,284.169342
3728,37.280467,316.7995,283.60434
3729,37.290313,316.272156,283.039337
3730,37.300162,315.700867,282.474335
3731,37.310250,315.173523,281.909332
3732,37.320208,314.558319,281.34433
3733,37.330471,314.074921,280.779327
3734,37.340316,313.547577,280.214325
3735,37.350139,313.064178,279.649323
3736,37.360429,312.58078,279.08432
3737,37.370506,312.141327,278.519318
3738,37.380166,311.701874,277.954315
3739,37.390307,311.218475,277.389313
3740,37.400117,310.691162,276.82431
3741,37.410450,310.163818,276.259308
3742,37.420349,309.68042,275.694305
3743,37.430417,309.109131,275.129303
3744,37.440668,308.449951,274.281799
3745,37.450210,307.922607,273.999298
3746,37.460489,307.307373,273.434296
3747,37.470328,306.692139,272.869293
3748,37.480188,306.03299,272.304291
3749,37.490291,305.417755,271.738312
3750,37.500105,304.71463,271.172333
3751,37.510481,304.099396,270.606354
3752,37.520337,303.440216,270.040375
3753,37.530403,302.781036,269.474396
3754,37.540275,302.121887,268.908417
3755,37.550366,301.594543,268.342438
3756,37.560203,300.979309,267.776459
3757,37.570469,300.40802,267.21048
3758,37.580427,299.836731,266.644501
3759,37.590275,299.221497,266.078522
3760,37.600372,298.606262,265.512543
3761,37.610230,298.034973,264.946564
3762,37.620496,297.50766,264.380585
3763,37.630346,296.980316,263.814606
3764,37.640439,296.409027,263.248627
3765,37.650132,295.969574,262.682648
3766,37.660213,295.44223,262.116669
3767,37.670499,294.914886,261.550171
3768,37.680374,294.343597,260.983154
3769,37.690274,293.816254,260.416138
3770,37.700356,293.28894,259.849121
3771,37.710501,292.761597,259.282104
3772,37.720200,292.190308,258.715088
3773,37.730473,291.619019,258.148071
3774,37.740377,291.13562,257.581055
3775,37.750278,290.564331,257.014038
3776,37.760360,289.993042,256.446045
3777,37.770504,289.465698,255.878052
3778,37.780143,288.89444,255.310059
3779,37.790472,288.279205,254.742065
3780,37.800372,287.663971,254.173065
3781,37.810272,287.092682,253.604065
3782,37.820571,286.433502,252.750565
3783,37.830099,285.774323,252.466064
3784,37.840230,285.115143,251.897064
3785,37.850501,284.412048,251.32756
3786,37.860386,283.708923,250.757553
3787,37.870276,283.049744,250.186539
3788,37.880112,282.434509,249.615524
3789,37.890342,281.819275,249.04451
3790,37.900196,281.247986,248.472519
3791,37.910456,280.720642,247.900528
3792,37.920326,280.193329,247.328537
3793,37.930198,279.70993,246.756546
3794,37.940271,279.226532,246.183548
3795,37.950253,278.699188,245.61055
3796,37.960091,278.171844,245.037552
3797,37.970376,277.688446,244.464554
3798,37.980227,277.205048,243.890549
3799,37.990307,276.765594,243.316544
3800,38.000149,276.238281,242.742538
3801,38.010250,275.710937,242.168533
3802,38.020394,275.183594,241.594528
3803,38.030445,274.65625,241.020523
3804,38.040300,274.084961,240.446518
3805,38.050384,273.513672,239.872513
3806,38.060296,272.942383,239.298508
3807,38.070375,272.327148,238.724503
3808,38.080089,271.799835,238.150497
3809,38.090385,271.228546,237.576492
3810,38.100230,270.657257,237.002487
3811,38.110390,270.085968,236.428482
3812,38.120224,269.514679,235.854477
3813,38.130490,268.94339,235.280472
3814,38.140448,268.328156,234.706467
3815,38.150296,267.712952,234.132462
3816,38.160392,267.097717,233.558456
3817,38.170226,266.438538,232.984451
3818,38.180493,265.735413,232.410446
3819,38.190342,265.032288,231.836441
3820,38.200593,264.329163,230.975433
3821,38.210121,263.626038,230.688431
3822,38.220231,263.010834,230.114426
3823,38.230495,262.395599,229.540421
3824,38.240396,261.82431,228.966415
3825,38.250296,261.296967,228.39241
3826,38.260597,260.813568,227.531403
3827,38.270122,260.374115,227.2444
3828,38.280274,259.890717,226.670395
3829,38.290101,259.407318,226.09639
3830,38.300359,258.967896,225.522385
